Video ID,Shawn Seconds,Total Seconds
7002788353783434497,0,12.6
7002789394994236674,0,14.2
7003183961660771586,0,10.466666666666667
7003188807923223809,0,9.933333333333334
7003189629818014977,0,7.6
7014796375292382465,0,62.68
7014865683179654401,0,21.96
7015011548942912769,0,77.88
7015023118641040641,0,21.16
7015034600481197314,0,27.44
7015094813859040514,0,88.64
7015176894832250113,0,40.76
7015181047222619394,0,41.36
7015184179558108418,0,38.56
7015194610750311682,0,54.36
7015212083142790402,0,55.72
7015212615551012097,0,41.56
7015352292832480513,0,36.08
7015383686572985601,0,28.6
7015384260437658882,0,27.56
7015393776617164033,0,17.16
7015394428995030274,0,20.96
7015575538836245761,0,30.4
7015576155273104642,0,16.2
7015577115491929345,0,18.4
7015577871620132098,0,44.12
7015578449637084417,0,29.0
7015579431087394049,0,27.08
7015774544128527617,0,34.4
7015774928595176705,0,25.12
7015776494001622274,0,50.88
7015776959003184385,0,14.6
7015995662361840898,0,46.8
7015996235521821953,0,42.76
7015996763433618690,0,55.32
7015997421855460610,0,19.0
7015998473984036097,0,44.44
7016137112030285057,0,31.24
7016138983998622978,0,44.32
7016139609197366529,0,34.68
7016141745314385154,0,25.16
7016358405312875778,0,29.64
7016358904632200449,0,15.68
7016359494389124353,0,32.16
7016505592982424834,0,24.8
7016513025016335617,0,13.8
7017335161574460674,0,66.32
7017435548226784513,0,33.8
7017436516418931969,0,38.12
7018205815169486082,0,26.88
7018206607687372033,0,18.4
7018207400918306050,0,27.4
7018208293898259713,0,76.16
7018580852770721026,0,36.52
7018735456141577474,0,40.24
7018740804298542338,0,61.56
7019297236865600770,0,43.96
7019463780040035585,0,36.68
7019492354180631809,0,32.48
7020926938927713537,0,57.86666666666667
7021114732010638594,0,81.56
7026889093464345858,0,102.8
7027272501155630337,0,82.8
7027684159032151297,0,21.733333333333334
7027684909640617218,0,14.933333333333334
7028510174851779842,0,62.2
7028954469261987073,0,51.266666666666666
7029283305904147714,0,32.766666666666666
7030077761142164737,0,31.133333333333333
7030760877926173953,0,34.13333333333333
7031128772828990721,0,17.875
7031538437203217665,0,32.96
7031539370452602114,0,30.28
7031898119134579969,0,33.375
7032501848669981953,0,49.291666666666664
7033397102013123841,0,50.6
7033745325282069761,0,29.88
7033768181311245570,0,26.416666666666668
7034088930341424386,0,30.508474576271187
7034482513900850434,0,60.208333333333336
7034850163353046273,0,34.54237288135593
7034854919077137665,0,88.64
7035084949413711106,0,39.875
7035397564623097090,0,59.125
7035926841101798658,0,74.4
7036355939108277505,0,14.0
7037482013250604290,0,10.666666666666666
7037500273039920386,0,57.44
7037744517667196161,0,46.88021354688021
7038879379627298049,0,25.75
7039667275762289922,0,10.208333333333334
7040439461376773377,0,26.933333333333334
7041333379215789314,0,23.64
7042297088675286273,0,46.208333333333336
7042992526122355969,0,22.416666666666668
7043989440187993346,0,16.791666666666668
7044893755039632641,0,28.416666666666668
7046334686733405442,0,14.916666666666666
7046719563194453250,0,21.666666666666668
7049157211616038145,0,71.46666666666667
7049514323672141057,0,25.791666666666668
7049514877039217922,0,46.541666666666664
7050095396428827906,0,53.03333333333333
7050255338880126210,0,43.7
7050635762911546626,0,35.666666666666664
7050988481501285633,0,29.166666666666668
