Video ID,Dominant Emotion,Emotion Confidence
7002788353783434497,sadness,0.9916713237762451
7002789394994236674,anger,0.2915484607219696
7003183961660771586,anger,0.2915484607219696
7003188807923223809,anger,0.2915484607219696
7003189629818014977,joy,0.9988592863082886
7014796375292382465,joy,0.9980617165565491
7014865683179654401,joy,0.9617164134979248
7015011548942912769,joy,0.5524376034736633
7015023118641040641,joy,0.998596727848053
7015034600481197314,fear,0.9842903017997742
7015094813859040514,anger,0.6752831339836121
7015176894832250113,joy,0.9978976249694824
7015181047222619394,joy,0.9982510209083557
7015184179558108418,joy,0.9983493089675903
7015194610750311682,joy,0.9311398267745972
7015212083142790402,joy,0.9988946318626404
7015212615551012097,joy,0.9984608888626099
7015352292832480513,joy,0.9976709485054016
7015383686572985601,joy,0.998127281665802
7015384260437658882,joy,0.984808087348938
7015393776617164033,sadness,0.9930644631385803
7015394428995030274,joy,0.5132166743278503
7015575538836245761,joy,0.9453262686729431
7015576155273104642,joy,0.8541145324707031
7015577115491929345,joy,0.9974544644355774
7015577871620132098,joy,0.9981628060340881
7015578449637084417,joy,0.9955154061317444
7015579431087394049,joy,0.9916440844535828
7015774544128527617,joy,0.9954500794410706
7015774928595176705,joy,0.7304503321647644
7015776494001622274,anger,0.9627371430397034
7015776959003184385,sadness,0.5450117588043213
7015995662361840898,joy,0.9966654181480408
7015996235521821953,joy,0.9712247252464294
7015996763433618690,joy,0.8154354691505432
7015997421855460610,joy,0.9970491528511047
7015998473984036097,joy,0.9373729825019836
7016137112030285057,joy,0.9972705245018005
7016138983998622978,joy,0.9987667798995972
7016139609197366529,joy,0.9990959167480469
7016141745314385154,joy,0.9871633052825928
7016358405312875778,joy,0.8405406475067139
7016358904632200449,anger,0.4039488434791565
7016359494389124353,joy,0.9981656670570374
7016505592982424834,joy,0.9970566034317017
7016513025016335617,anger,0.5719233155250549
7017335161574460674,joy,0.5684457421302795
7017435548226784513,joy,0.9983201622962952
7017436516418931969,joy,0.661902904510498
7018205815169486082,love,0.9331093430519104
7018206607687372033,joy,0.7924172878265381
7018207400918306050,joy,0.9393121600151062
7018208293898259713,joy,0.5420733690261841
7018580852770721026,joy,0.9104905724525452
7018735456141577474,joy,0.9736526012420654
7018740804298542338,sadness,0.9835748672485352
7019297236865600770,love,0.9584168791770935
7019463780040035585,joy,0.9949666857719421
7019492354180631809,joy,0.6250673532485962
7020926938927713537,sadness,0.9977980852127075
7021114732010638594,fear,0.9306743144989014
7026889093464345858,sadness,0.5321813821792603
7027272501155630337,fear,0.9952577948570251
7027684159032151297,joy,0.9897984266281128
7027684909640617218,joy,0.9836193919181824
7028510174851779842,joy,0.9979223608970642
7028954469261987073,anger,0.7106888890266418
7029283305904147714,joy,0.9974404573440552
7030077761142164737,anger,0.5306349396705627
7030760877926173953,joy,0.9987753033638
7031128772828990721,fear,0.9940588474273682
7031538437203217665,joy,0.9954630732536316
7031539370452602114,joy,0.9210164546966553
7031898119134579969,joy,0.6932159066200256
7032501848669981953,sadness,0.9975411891937256
7033397102013123841,joy,0.8863507509231567
7033745325282069761,joy,0.968128502368927
7033768181311245570,anger,0.4856758713722229
7034088930341424386,joy,0.9946267008781433
7034482513900850434,joy,0.960722029209137
7034850163353046273,joy,0.9967929720878601
7034854919077137665,joy,0.8623797297477722
7035084949413711106,fear,0.5220374464988708
7035397564623097090,joy,0.8945186734199524
7035926841101798658,joy,0.8981859087944031
7036355939108277505,sadness,0.6824333667755127
7037482013250604290,joy,0.4970695376396179
7037500273039920386,joy,0.9989174604415894
7037744517667196161,fear,0.6863232851028442
7038879379627298049,sadness,0.6217924952507019
7039667275762289922,joy,0.608830988407135
7040439461376773377,sadness,0.9983433485031128
7041333379215789314,joy,0.9910402894020081
7042297088675286273,joy,0.9988755583763123
7042992526122355969,sadness,0.9975724816322327
7043989440187993346,joy,0.9712600708007812
7044893755039632641,sadness,0.8337655663490295
7046334686733405442,joy,0.9263805150985718
7046719563194453250,joy,0.9975994229316711
7049157211616038145,sadness,0.9885138869285583
7049514323672141057,sadness,0.6217924952507019
7049514877039217922,joy,0.9976043105125427
7050095396428827906,sadness,0.9973104000091553
